"Argentina","Produce,Confections,Seafood,Beverages,Dairy Products,Condiments,Grains/Cereals"
"Austria","Beverages,Condiments,Dairy Products,Confections,Seafood,Produce,Grains/Cereals,Meat/Poultry"
"Belgium","Confections,Dairy Products,Meat/Poultry,Produce,Beverages,Grains/Cereals,Condiments,Seafood"
"Brazil","Seafood,Produce,Condiments,Dairy Products,Beverages,Confections,Meat/Poultry,Grains/Cereals"
"Canada","Seafood,Grains/Cereals,Confections,Condiments,Meat/Poultry,Dairy Products,Beverages,Produce"
"Denmark","Dairy Products,Beverages,Meat/Poultry,Condiments,Confections,Seafood,Produce,Grains/Cereals"
"Finland","Dairy Products,Seafood,Beverages,Produce,Confections,Meat/Poultry,Grains/Cereals,Condiments"
"France","Dairy Products,Grains/Cereals,Condiments,Meat/Poultry,Beverages,Confections,Seafood,Produce"
"Germany","Produce,Seafood,Grains/Cereals,Confections,Beverages,Dairy Products,Meat/Poultry,Condiments"
"Ireland","Beverages,Seafood,Dairy Products,Confections,Condiments,Grains/Cereals,Produce,Meat/Poultry"
"Italy","Beverages,Dairy Products,Meat/Poultry,Confections,Condiments,Grains/Cereals,Seafood,Produce"
"Mexico","Confections,Seafood,Beverages,Condiments,Dairy Products,Meat/Poultry,Produce,Grains/Cereals"
"Norway","Beverages,Produce,Dairy Products,Meat/Poultry,Seafood,Confections,Condiments"
"Poland","Dairy Products,Seafood,Beverages,Meat/Poultry,Confections,Produce,Condiments"
"Portugal","Dairy Products,Condiments,Confections,Beverages,Meat/Poultry,Produce,Grains/Cereals,Seafood"
"Spain","Confections,Beverages,Seafood,Grains/Cereals,Condiments,Meat/Poultry,Dairy Products,Produce"
"Sweden","Beverages,Seafood,Condiments,Dairy Products,Meat/Poultry,Confections,Produce,Grains/Cereals"
"Switzerland","Beverages,Meat/Poultry,Produce,Confections,Seafood,Dairy Products,Grains/Cereals,Condiments"
"UK","Condiments,Grains/Cereals,Beverages,Seafood,Confections,Dairy Products,Produce,Meat/Poultry"
"USA","Condiments,Produce,Grains/Cereals,Dairy Products,Confections,Beverages,Meat/Poultry,Seafood"
"Venezuela","Confections,Beverages,Condiments,Meat/Poultry,Dairy Products,Seafood,Produce,Grains/Cereals"
